naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
Meeple Quest - A Fantasy Board Game (Canceled),Manel Fre3men,ES,Tabletop Games,351,40000,21362,0,"Easy, fast and fun dungeon crawler boardgame. Your little meeples can be great heroes. Explore, fight! and enjoy inside the dungeons."
Descent into Hell  Gods Army,Kobie Newton,US,Graphic Novels,6,17000,145,0,Full color 50 page graphic novel about God's Army trek through hell to rescue two missing archangels.
Teeny: Artisan Coin Holder For Your Change and Essentials,Teeny,US,Accessories,189,3000,4324,1,"An artisan handmade coin holder for your essential small valuables, allowing you to find things easily just as you need them."
Brass Army - We Will Be Heard,Brass Army,US,Apparel,13,2000,583,0,"To unite for the common interest of our servicemen, servicewomen, 2nd Amendment rights, Patriotism, and our God."
Do Not Disturb Calander,Hunter Lynch,US,Apps,4,1000,21,0,An app that links to your google calendar that auto silences your phone when you are in a meeting or important class
Unsolicited Advice: 2017 Weekly Planner,Adam J. Kurtz,US,Calendars,1155,2600,47846,1,"Pocket-size weekly planner full of tiny jokes, activities and nagging to (maybe???) help you keep your s*** together in the new year."
Northern Regime : 1862 (Canceled),Axel,CA,Video Games,24,4500,434,0,Northern Regime is a dynamic survival game based in the era of 1862 in the cold frigid and mountainous lands of Dakota.
Claudia Cuentas' Solo Albums Debut: \\,Claudia Cuentas,US,World Music,191,11000,13322,1,Two albums. A collection of original songs inspired by the Andean Healing Tradition and the Afro Peruvian Diaspora of the Americas.
Ellie & Elsie's Story,Jordan Tate,US,Nonfiction,45,2500,2895,1,"My hope is simple. That even one grieving parent would feel encouraged, comforted, and understood. https://youtu.be/h4QUCybJOk4"
Myemogee.com,Mona Simons,US,Comics,0,15000,0,0,Express yourself by shopping at myemogee.com and purchase products and apparel imprinted with trendy emojis  and memes!
The best jerky EVER!!!,K Antionette Johnson,US,Food,9,5000,123,0,"OMG Jerky is a natural, gluten free jerky, created on the premise of a natural snack food, without the loss of flavors and quality."
DEADENDIA - Season One Book!,Hamish Steele,GB,Graphic Novels,317,6500,8126,1,"A diverse, LGBT+ cast! Hilarious demons and terrifying angels! Trainee wizard pugs! Let's print my webcomic as a trade paperback!"
VVV Trilogy --A Trilogy of Illustrated Novellas,J. Kiakas,CA,Fiction,81,7000,7400,1,"VVV Trilogy is a group of illustrated novellas (Violins, Violoncellos & Violas) that can be read in any order you please."
Our Friend Connor,Stewart,US,Documentary,41,5000,5000,1,"A friend full of love and hope, Connor Bourke, was always there for those in need. Help us honor his memory and share his message"
Purgatory,Underestimated Games Limited,GB,Tabletop Games,219,10500,13787,1,"Purgatory is a fresh take on traditional skirmish gaming, packed with high quality resin models in world full of colourful characters"
modrn Mavrks Brand Launch,MaxJuste,US,Product Design,0,60000,0,0,"The Launch of lifestyle brand that aims for sustainability, comfort & contribution of a small percentage to positive art initiatives."
Funny Undees,J & R,US,Apparel,13,500,516,1,Introducing our first Drive Safely line of underwear for women.
The Art of Kim DeMulder,Kim DeMulder,US,Art Books,174,9500,10590,1,"A limited edition hardcover book collecting the illustrative fantasy, pin-up, horror, and comic related artwork of Kim DeMulder."
The largest online platform to rent sports equipment,SHARENT SPORTS INC,US,Web,1,10000,10,0,The largest online platform to rent sports equipment from local people worldwide. Get paid to share yours. Available in 116 countries.
JP's Fully Automated Burger Machine,J. Purpura,US,Gadgets,6,350000,181,0,Unmanned kitchens are no longer a thing of the future! This invention will revolutionize the food industry!
Visual Concept Album: The Black EP (Kaia Kena),Kaia Kena,US,Electronic Music,52,5000,5042,1,Kaia Kena's New 5-Song Indie-electronic EP project embraces a multi-disciplinary showcase of music/film/fashion/dance/&stage design.
Atharyn Tales: The Blackwood Legacy,C. Sullivan,US,Fiction,1,10000,300,0,"This project is an attempt to translate my life experiences with death, depression and the supernatural into novel form."
WALLY 2: The World's Coolest Commuter Solar Power Backpack,Fordma Sports,HK,Design,24,250000,28719,0,"A cooling back panel solar charger backpack with over 20 features.WALLY2 is ONE backpack to work, Bike commute and Travelling."
Les vinaigrettes de mes amis,R. Alexandre - J. Englebert,BE,Publishing,2,200,22,0,Un roadbook culinaire originalement illustr ou comment une famille (re)dcouvrent les recettes des vinaigrettes de leurs amis.
Luke & Jo Feature Film,Solis Films,US,Film & Video,87,50000,32370,0,Luke and Jo is a feature film that explores the power of human connection as two people collide at the lowest point in their lives.
The Bulldogs (The bloodline),LaNard Morrison,US,Film & Video,1,100000,10,0,Science fiction Action adventure comedy tech movie
"The Super Sustainables, A Musical Book for Children",Albin Gielicz and Gonen Yacov,US,Children's Books,131,25000,25222,1,One-of-a-kind musical book that shows how we all can be heroes and work together to make a difference.
- Mermaid Chic - Limited Edition Enamel Pins,Katie Faux Fox Studio,US,Art,69,1342,1588,1,Inclusive limited edition Mermaid Chic lapel pins by Faux Fox Studio!
Death Match,Wargames Terrain Workshop,GB,Tabletop Games,9,5000,308,0,"A 35mm skirmish game of gladiatorial combat through the stars, pit your gladiator against other combatants and independent beasts."
POMP & SASS Textile Design,Nikky Annette Starrett,CA,Product Design,27,5500,5547,1,Beautiful limited edition goods from emerging designer Nikky Starrett
WE ARE DREAMERS,Cristian Saliadarre,AU,Pop,0,8000,0,0,The world continues to evolve and us as humans continue to creatively enhance our lives by our strong belief in DREAMS.
CROSSED WIRES Volume 1,Iris Jay,US,Webcomics,112,6000,6802,1,HACKER FIGHTS. DOUBLE LIVES. NONSTOP QUEER CYBER-POSTPUNK ACTION. Collects chapters 00 and 01 of the ongoing webcomic!
THE GIFT  a Christian album by Scott Ryan of Crooked Timber,Lilla Ryan,US,Faith,15,1500,1805,1,"Recordings for the album were finished before Scotts untimely death. Help me (his wife, Lilla) fulfill his wish to get the album heard"
Pub Battles: Little Bighorn -Custer's Last Stand,Command Post Games,US,Tabletop Games,78,2000,7264,1,"140 Year Anniversary Edition:   Players fight for survival in this desperate game, where the enemys strength is unknown!"
The Life and Death of Dreams,Valentino,CH,Metal,19,6200,1928,0,"What happens when you decide to become a musician? By releasing music and videos, we expose what usually goes by unnoticed."
Creation of \\,Jesseca,US,Webcomics,1,1700,5,0,What happens when an introvert who is afraid of commitment falls in love? Find out in \\
"Life, the social network!",Glen Ihenacho,US,Apps,2,5000,10,0,"I am raising money to further my mobile app, social network. It is currently in development and holds an assured due date of 9/16/16."
VidMag Television Online,Jeff Reding,US,Music,0,1000,0,0,"VidMag Television is going online and we need software, a website and hardware to expand our reach to the rest of the world."
Short Film,Dillon Hunt,US,Music Videos,0,800,0,0,"This is a music video/short film that will be filmed in Fort Wayne, IN."
Richmond Pinball Collective,Richmond Pinball Collective,US,Live Games,130,7000,8121,1,"We are creating Richmond's first and only dedicated pinball arcade.  A place to join together, compete, have fun and make new friends."
Round 2 in the studio and beyond!,Kelley Stultz,US,Country & Folk,4,4000,375,0,"Time to take my music to the next level!  Round 2 in the studio, new pictures, and a website!"
Imaginary Landscapes: A booklet of abstract images,Brendan Williamson,US,Art Books,8,250,290,1,I'm designing and publishing a small booklet of my abstract photographs using a risograph.
A Collective Perspective,Bryce Gaetano (A Collective Perspective),US,Poetry,5,1000,56,0,Together we are creating a book of poetry and a limited edition version of the book with art from original and upcoming creators!
Circle Footwear | Shoes Made Just For You,Lucus Houle,CA,Footwear,101,40000,20970,0,Circle Footwear was founded from the idea that you are truly unique and deserve shoes that you can actually call your own.
Hobby Hand 2.0 - Prosthetic Hand Robotics Kit,Biomechanical Robotics Group Inc.,US,3D Printing,92,10000,13385,1,"Learn how to program, use sensors, and micro-controllers!  Join our movement to bring high-functional prostheses to the market!"
Tyroze: 3 in 1 Premium Urban Bag With Lifetime Guarantee,Dimitry,GB,Product Design,23,800,2524,1,"All in one city travel bag for men: secured backpack with multi-divided structure, portable laptop bag & toiletry bag"
Flamingo Flamingo,Faisa O'Reilly,GB,Ready-to-wear,0,1000,0,0,"A start-up brand initiative, to focus on t shirts, baseball tops and sweatshirts with authentic handwritten text."
Yesterday's Heroes: A Coloring Experience,Artlet.us,US,Art Books,76,10000,10106,1,A Coloring Book of Legendary World War II Fighter Planes
Sage King \\,Sage King,US,Rock,9,1000,1050,1,"After the success of my first record, I invite you to help me record and produce my second effort \\"
BATTLEAXE BETTY: A HEAVY METAL MUSICAL,Betty Battleaxe,US,Experimental,16,2500,2700,1,Heavy Metal! Combat! Queer! Disabled! Witches! Warriors! Goddesses! Rock Stars!
K35: The thinnest and lightest leather travel slippers,K35 Slippers,CA,Fashion,44,8000,2495,0,Travel should be simple and light.
Fizzics Waytap | Untap the full taste of beer with science,Fizzics Home Beer Draft System,US,Gadgets,7117,50000,1086819,1,"Sound waves convert the beers carbonation into densely compacted, uniform Micro-Foam bubbles unlocking that fresh-from-the-tap taste."
Scarlett - The collection,Graeme Buchan,GB,Comics,11,999,181,0,The complete collection in two books.
Electric guitar strap,Derek Washington,US,Gadgets,28,5000,949,0,This is an electric guitar strap that turns on any strip of LED's or multi color LED's. It also can react on the beat of any music
SEEKING,Tonisha Fortune,US,Nonfiction,1,10000,1,0,"Seeking first the Kingdom of God with the expectation of all other things being added. Feed us the Bread of Life, so that we may live."
Partake Foods,"Denise, Jeremy, and Vivi Woodard",US,Vegan,199,30000,30260,1,"Partake Foods is a line of healthy and tasty mini cookies that are nut-free, gluten-free, and vegan, as well as Non GMO and Kosher."
CopCritic App: Helping Police & Public Communicate Better,Victor Holman,US,Apps,2,30000,101,0,"View live interactions with police. Rate officer performance, post comments, escalate streams. CopCritic reduces tensions & saves lives"
An App 4 That,Adrianna Ryan,US,Mobile Games,0,15000,0,0,Emoji App Startup seeks funding 4 cool graphics gaming co and companion fashion company will launch w/i 4 weeks funding
Brasii,"Brasii, Inc.",US,Hardware,20,50000,7824,0,Make amazing craft beer at home with ease. Share recipes across the world and cook delicious sous vide.
Estelle / A Dance Documentary,Mellissa Lo,GB,Documentary,136,3500,6156,1,"Estelle School of Dance has opened its doors for 60 years, run solo by one woman. This is her story & the journey of those she taught."
*FLASHLIFE* Most Complete Emergency Survival Product Ever.,Randy & Tina Creators of \\,US,Hardware,14,350000,1865,0,This is a \\
O Human Star Volume 2 + Volume 1 Reprint,Blue Delliquanti,US,Webcomics,608,27000,32611,1,"O Human Star returns for Volume 2, plus a reprint of Volume 1! Available as softcovers and KS-exclusive hardcovers!"
SoulmateT,Mattia,IT,Apparel,0,6000,0,0,Who said that the t-shirts are just clothes worn to be cool. I have created a series of t-shirts useful as well. Perfect to find love!
Dillon Dance at Resolution 2017,Dillon Dance,GB,Performances,28,500,615,1,Dillon Dance are a contemporary dance company based in London. We need your support to help us get our next show to Resolution 2017!
A TwiLight! The Unique NEW SolarPuff Solar Light!!,Alice Min Soo Chun & Stacy Kelly,US,Product Design,1577,25000,100844,1,A TwiLight is a mini SolarPuff by Solight Design! New solar lights that packs flat and pops open into magical cubes!
Parker's Real Maple,Joshua Parker,US,Food,52,200000,3461,0,"Help 18 year old entreprenuer, Joshua Parker, achieve his American Dream and raise the $200,000 he needs to expand production!"
Diamond Diplomacy,Flying Carp Productions,US,Documentary,253,40000,40777,1,"Diamond Diplomacy reveals often-controversial pivotal moments, as baseball has been tossed between the U.S. and Japan since 1872."
Crushh: Find out how much people like you...secretly!,Crushh,US,Apps,5,5000,54,0,"Curious how much the people you text like you?We all have a sense, but sometimes we aren't sure."
Stanislaus County News,Jason Starn,US,Web,2,3000,50,0,We cover local news from Stanislaus County and are ready to take it to the next level!
The RoboWriter Podcast,Robert Whitney,US,Audio,0,1000,0,0,The hottest new sports and current events podcaat in the land. Entertainment and info for all walks of life.
Hand Crafted Jerky. Company Start Up... GiosJerky.com,Gios Jerky,US,Food,9,10000,122,0,"My goal is to bring a true craft jerky to market, one that is free of preservatives, and a healthy alternative to this snack!"
Steel Unique - Stainless Steel Christmas Decorations,Nick Strong,GB,Product Design,5,650,175,0,"A series of designer stainless steel Christmas decorations ideal for Christmas trees, stocking fillers or a gift this holiday season."
Follow The Leader,Follow The Leader,US,Horror,121,10000,13155,1,"Three characters lose their senses of sight, hearing and speech. After waking up in an abandoned mall, they realize they are not alone."
Xzibitz Grand Opening,Kaloma Davis Sr.,US,People,6,5000,235,0,We have finally secured a permanent location and need your help to decorate its walls with product that reflects our various services.
Built From Bricks LEGO Show,Brian Berkovitz,US,Film & Video,1,50000,1,0,"A Show all about Lego. Builds, News, Reviews, Challenges and more!  It's fun and you should watch us!!"
Organic sauce for a modern healthy lifestyle by Six Organics,Degen Elizabeth Ellen,US,Food,36,10000,1975,0,Zesty Cashew Lemon Miso Sauce Coming to you in 3 oz single serve packets! Organic + Dairy-Free + Zero Sugar + Gluten-Free + Full Flavor
Smartkase for iPhone 7 - Dual Sim +Memory Card +Battery Case,Fuzure Innovations LLC.,US,Gadgets,3296,50000,281995,1,Smartkase makes your iPhone Dual Sim capable - Doubles its Battery Life & Lets you add a Memory Card to your iPhone.
The Wellspring Journal,Tyler Ford,US,Literary Journals,5,6500,360,0,"Above all else, guard your heart, for it is the wellspring of life. Open the pages...protect your heart. Dorrance Publishing pending."
Kiwi - OBD Car Connected App Reinvented,PLX Devices,US,Technology,2183,15000,119733,1,"6-in-1 app featuring 125 gauges, performance meters, data logging, video, and fuel efficiency feedback to save you $660/year in fuel."
Huenster Plushies,Bubbly Doodle and Peter Mcgrath,US,Crafts,40,8500,1472,0,Do hue need some color in your life? The adorable Huensters will surely brighten up your day!
Twelve Pianos,Mauro ffortissimo and Dean Mermell,US,Documentary,173,19400,20735,1,"Twelve Pianos, the official documentary film about Sunset Piano, is done. But to get it to the screen, we need a little boost from you."
Donald Gould \\,Donald Gould,US,Faith,15,1000,282,0,Donald Gould (The Homeless Piano Man) - is doing an entire studio album!  Be the first to get a CD + digital download copy!
Dwarf War - First Contact (Canceled),Moondance Games,NL,Tabletop Games,16,15000,2537,0,"Dwarf War is a fast-paced table-top 3D game of underground warfare. With stackable caverns, magnetic pieces and epic play. Dig it now!"
Christmas Night in Sactown,Julie Gallaher,US,Jazz,19,999,1132,1,"When it's Christmas Night in Sactown, all the jazzbirds will be swinging. That is, if you support our holiday jazz album."
Smiles Wanted!Homage to Dada theProject/Book & Reboot,Susan,CH,Mixed Media,2,1300,61,0,------Be a part of an ARTWORK! -----------------------------------------------------------------------------------  and the book!
Sidecar Press Calendar 2017: California Flora & Fauna,Sidecar Press,US,Printing,27,550,1155,1,A charming block printed calendar celebrating the facinating wildlife of California. Lovingly carved and printed in my farmhouse pantry
RELM APPAREL | Lifestyle Brand + Urban Fashion + Streetwear,Nat Whitehall,US,Apparel,1,5000,300,0,We want to evolve our line of t-shirts and hats into a complete clothing brand that consists of men's & women's apparel & accessories.
Love Bear,Jocquisha,US,Crafts,1,5000,10,0,"Remember your loved ones, Know where they are."
The Sandra West Diaries Ep#5 and Ep#6,Robert G Griffith aka: Scott Rhodes,US,Film & Video,20,1200,1835,1,"Sandra West is a sultry and lethal freelance spy and ex agent of T.H.E.M., who plays by her own rules in a world of danger and intrigue"
Elemental World :The Sacrifice (Sacrifice Revival),Wise Owl Studios LTD,GB,Video Games,2,5000,16,0,"This project is a game i been working on and off in the past using my spare assets,  a spiritual successor to interplays game Sacrifice"
Afghanistan Film News base,Sayad Ali,CA,Web,3,1350,40,0,The first and biggest short film news base in Afghanistan has been started on 2011 in English and Farsi languages.
Project Concorde - The Flying Manuals...Remastered,James Palmer,GB,Academic,8,85250,1871,0,"Concorde is arguably one of the greatest aircraft of all time and we're remastering her flying manuals perfectly, from scratch!"
\\,Anastasia Bolinder,US,Young Adult,8,3000,198,0,A wingless fairy. A plot against the kingdom. A destiny unknown. Set off on a quest where magic is key and heroes emerge.
A Night Stand - The dual stand for Apple Watch and Iphone.,Michael Lysbjerg Brund,DK,Product Design,13,35000,5880,0,"Use your Apple Watch night and day. A Night Stand provides the perfect base to recharge your watch and Iphone, while YOU get recharged."
RIKI (Canceled),Yarmo,US,Crafts,32,5000,2546,0,"Compact, versatile and safe knife for your life."
THE BLOOPER REELS PROJECT,keith gillespie,IE,Music,0,350,0,0,"We are creating a podcast to share the voices of the working class musician and film maker , a community of nerds and artist"
Cannabis Industry Real Estate Listing Website,Justin,US,Web,1,20000,200,0,Green Space Property was born out of necessity for the cannabis real estate market.
WarriorteX: Science and Passion meet Fashion,Jeff May,US,Product Design,8,150000,737,0,"WarriorteX sportswear is moisture resistant, stain resistant, odor resistant with unchanged breathability, comfort and durability."
Being - A Brazilian Jiu Jitsu Portrait Book,Kevin Kwee,NL,Photobooks,15,11701,805,0,A unique and limited edition photobook portraying BJJ practitioners.
The B.A.T. - A Coin-sized Multi-tool with 10 Functions,Covert Products Group,US,Product Design,222,7000,11734,1,"The Bring Anywhere Tool (B.A.T.) is slightly bigger than a quarter, can go anywhere (even planes), and lets you cut, open and ignite."
World's 1st Active Living Soap - Celeste Skincare,Celeste Skincare,US,Fashion,147,5000,8032,1,100% natural PH balanced fruit enzyme facial bar with no harmful chemical substances and preservatives
Lemon Eyes Film Festival Submission Campaign 2017,Mike Madigan,US,Experimental,36,2000,2230,1,Be a part of submitting our completed 1920's Detroit-era dramatic short \\
Yoga: The peaceful foundation of a Well Economy,Erin Kay Anderson,US,Civic Design,20,10000,3270,0,An economic platform and that invests in the well being of communities by way of yoga (all events curated by PEACE)
The Original Magic New Album,Sean Ross,US,Electronic Music,0,15000,0,0,"My new album release will take 3 months to produce in my home studio, and I need help funding it to make this happen."
ART CALENDAR: \\,Tanya Silva,US,Places,1,5000,105,0,One woman photo journey to the childhood places and ancestral lands in Siberia documented in a beautiful art photography calendar.
Laverty-Torres Group: Detroit II,Tom Laverty,US,Jazz,21,1100,1135,1,"circa 1995: LT group seeks to improvise in a minimal rock setting. Guitar, Rhodes, bass, drums."
I'm Strong \\,Jonathan Krell,US,Publishing,40,250000,3266,0,"What we need now is 10,000 louder kids."
RIZE Where Women Lead and Learn,Erica Atnip,US,Workshops,151,25000,26370,1,RIZE is a center for women to take classes in fields where they are underrepresented.
Sober Island Brewing Company,Rebecca Atkinson,CA,Drinks,95,25000,13258,0,"Sober Island Brewing Company is a community driven, destination focused microbrewery, crafting ales using local natural ingredients."
Extend-A-Vent The last car phone holder you will ever need,Akiva Boas,US,Gadgets,5,50000,120,0,"Finally an air vent cellphone holder that does not obstruct the Air to you, and keeps your cellphone safe from damaging temperatures."
Book: Uber Confessional,David Winters,US,Publishing,1,20000,15,0,My second book and first novel is a mystery centered around an Uber driver in Washington D.C.
Solo Art Show Miami,Daniel Stanford,CA,Mixed Media,11,9800,683,0,Presently I am seeking funds to create new art paintings as well as funds to do a Solo show in Miami Nov 28th to Dec 4th.
Last Cat Standing,Boxroom 21c,GB,Tabletop Games,35,27500,866,0,"Last Cat Standing is a fun party game with 54 individually unique cards featuring cat fights, hypnotic buttholes & a Ninja Kitten!"
Seasoned,AnA Collaborations,US,Film & Video,82,10500,11163,1,\\
Roller Derby board game & minis shipped for Christmas 2016,Impact! Miniatures,US,Tabletop Games,173,500,7173,1,New resin roller derby miniatures with a board game that captures the action of roller derby shipped out for Christmas 2016
Mary and Brianna Nashville Production,Mary and Brianna Ferraro,US,Pop,1,7500,5,0,We are raising money for our Nashville Music Production this November 2016. Help us get our music to the next level MaryandBrianna.com
iRise Book Project: Suicide Awareness & Prevention,Kristie Knights,US,Nonfiction,35,5000,1996,0,The UnSung Heroes: Deconstructing Suicide Through Stories of Triumph book project gives a voice to pain and inspires others to live.
YOSEMITE PEOPLE,Jonas Kulikauskas,US,Photobooks,191,19800,22197,1,A photography book focusing on the people rather than the nature at Yosemite National Park.
Freak Football - Instructional Video Program,Michelle Webb,AU,Film & Video,2,20000,75,0,Teaches aspiring young football/soccer players the cutting-edge technical skills required to be an elite player in the world-game.
Phochron XA Film Camera Shutter Speed Tester,Eric Bergstrom,US,Camera Equipment,135,8500,16998,1,A quick and accurate handheld camera shutter speed tester that displays both numerical timing and a scope-like waveform.
Florence Biennale 2017 - Illustrations for sustainability,Ignjat Reljic Djuric,ES,Illustration,5,3000,490,0,"Vintage inspired illustrations to describe sustainability & creativity, with an emphasis on recycling, community, growth and nature."
"Krampus Collection 2: Shirt, Candle and Spirit Badge",Steam Crow,US,Apparel,167,900,8815,1,"KRAMPUS! Celebrate the Holidays with this premium limited edition t-shirt, woven Spirit Badge, and Prayer Candle! HO HO OH NO!"
Haloed Houseplant Holiday Cards,Whit Forrester,US,Stationery,40,1100,1396,1,A Reminder That Everything Is Alive This Holiday Season
\\,cbfritschner,US,World Music,28,3000,3000,1,"Between blues and reggae, filled with stories, impressions and images, JAMJAM is the debut album from Burkinabe musician Adama Dicko."
The Two Tracks SECOND ALBUM,The Two Tracks,US,Country & Folk,330,16000,16481,1,The Two Tracks are going to Nashville to record a new album produced by Will Kimbrough!
Getting Men,Bobby Nyce,CA,Nonfiction,1,15000,1,0,There's always been confusion when it comes to understanding men and how we think in regards to women.This book answers those questions
Gotta Go,Dire Nerd Studios,US,Video Games,69,5,1101,1,A comedic arcade romp for PC and Mac. Avoid your co-workers. Find the bathroom. Save your pants.
PRIMARIO - Handmade cool objects,elQuiltro,ES,Product Design,14,5000,537,0,"An organized day is a better day. We are committed with handmade,  practical and green design. We create beautiful objects."
KATE MITCHELL PRESENTS TERRAIN,Kate Mitchell,US,Performances,22,1118,1334,1,"DANCE, FASHION, PHOTOGRAPHY.  Bark, stones, skin, bones: parallel textures and patterns. Age reframed: beauty, not dissolution."
GoPUDOS: On-Demand Pick Up Drop Off Service,Nae Walker,US,Technology,1,75000,5,0,Move your large items from Point A to Point B with the tap of a finger!
Mutant: Elysium - rollspel om mnsklighetens sista dagar,Fria Ligan,SE,Tabletop Games,718,50000,584348,1,Upplev mnsklighetens sista dagar i enklaven Elysium I - ett rollspel i Mutant: r Nolls universum.
"Loved in peace, photobook about Lund",Lasse Sandstrm,SE,Photobooks,4,60000,2300,0,\\
Island Wood + Titanium Alloy Sunglasses: Superior Comfort,Nesian Ohana,US,Accessories,74,10000,6696,0,We're redefining wooden sunglasses! These glasses are made with Titanium Alloy & Exotic Hawaiian Woods = Strength + Beauty
Voiceless,Frances Negron-Miranda,US,Film & Video,9,600,620,1,Two Shakespearian sonnets brought to life by film.
Blank by Robert C Roman,Robert C Roman,US,Fiction,5,2250,210,0,"Help get Blank, a Young Adult Space Opera originally released in serial format on Juke Pop Serials, into eBook and print formats."
2017 LETTERPRESS CALENDAR . Limited Edition Print,Mr Cup,FR,Calendars,269,10500,18039,1,12 Inspiring letterpress word of wisdom printed on 700g color paper . Deluxe edition with wood engraved cover
MECHA-UDE: Japanese Animation,Sae Okamoto with Oort,US,Animation,999,25000,67918,1,Japanese geek girls challenge to anime creation.
What Ever Happened to The Infurians? (Canceled),J.A. Pringles,US,Comics,7,1200,718,0,"Full color graphic novel, chronicling the rise and fall of the world's first super team, The Infurians."
Task Force,Ted Houser,US,Shorts,26,4000,4173,1,A short film about the politics of a Heroin Task Force in small town America.
Snap Insulation,Karli Zwade,US,Design,2,5000,118,0,"Have a vent? Snap, seal, and save with Snap Insulation! Our patented and easy to use vent closure is created to ease homeowners' minds."
Lenten Meditations,James Janknegt,US,Painting,78,7780,10400,1,"A book of 40 original paintings, meditations and prayers based on the parables of Jesus, one for each day of Lent, by James B. Janknegt"
The Most Important Message You Will Ever Send,Di,US,Apps,0,80000,0,0,Everyday tens of thousands of people die in the world and never have the opportunity to say goodbye but now everyone can!
Shredded Rhino (Activewear Clothing),Travis Kelly,US,Apparel,17,600,787,1,We are a brand new active wear clothing design company from the US. All products are designed and tested before sale Also Veteran owned
Bring Authentic Cuban Pastries to the Bay Area!,The Rebel Baker,US,Farmer's Markets,87,6500,6675,1,Help me introduce my cuban pastries to the Bay Area! We need pastelitos!
Help me write my next novel 'Whiskey Jack',Rona Octavia,GB,Publishing,8,3000,37,0,Will you back me and become my Tribe?I am looking for a Tribe to be part of something cool.
The Minority Monsters Book,Tab Kimpton,GB,Comics,669,9000,20463,1,"LGBTQA+ Adventures through Alphabet Soup Land! Challenging Mythconceptions, one monster at a time."
Visionary Journal: A Goal and Day Planner with Vision,Monique Malcolm,US,Publishing,174,15000,15299,1,"A goal setting system, mini-vision board and day planner to help make your goals and dreams a reality."
An Impossible Project,Jens Meurer,DE,Documentary,337,35000,35932,1,"The more digital the world, the more analog our dreams.A feature documentary shot on 35mm film."
The Few and Cursed #2,Felipe Cagno,US,Comic Books,686,4500,16947,1,Join the Redhead as she chases the curse of The Crows of Mana'Olana in this epic supernatural western. Issue #1 also available!
Mike Crawford and his Secret Siblings' new album!,Jacob's Well Church,US,Music,247,12000,13590,1,Mike Crawford and his Secret Siblings have recorded a new album called Bright Hopes! Pre-order your copy here!
"BIG SCHOOL: Huge, maniacal drawing for print & coloring book",scott teplin,US,Painting,574,9500,30381,1,"Art print and coloring book of a massive 6-foot-wide hand-drawn school loaded with clever gags, secret surprises and pink donuts"
Steele Designs Store Launch,Anthony Steele,US,Apparel,1,5000,1,0,"Your favorite designs from all kinds of different shows, anime, movies & more!"
Rosie the Riveter Records Indie Label for Women and Girls,Tragicstar,US,Music,2,30000,1100,0,RtR Records will be a label that is run by and for women and girls exclusively. Providing safe A&R and jobs for women around the globe.
Roadie,Downtown Repertory Theater Company,US,Drama,100,7500,7516,1,Life doesnt always hand you a backstage pass.
The Drowned Lands : Echoes from a Lost People,Ri Ferrier,GB,Fiction,33,3500,845,0,8200 years ago rising sea levels and the world's largest tsunami split the UK from Europe. This is the story of the Lost People.
Hidalgo+Meyer Studios - Sculpted Furniture,Charles Hidalgo+Meyer,US,Product Design,2,30000,350,0,"To cast a selection of the furniture design prototypes in my portfolio, adding sculptural design to my fabrication business repertoire."
Ninja dice : throwing the dice like Shuriken & Furo dice bag,zero origin design,AU,Gaming Hardware,158,5500,5644,1,Ninja dice that  inspire by  Shuriken  traditional Japanese concealed weapon.FURO DICE BAg ( Furoshiki style) is ready to go
Ohio Valley Airsoft,ohio valley airsoft,US,Live Games,10,5000,595,0,We are looking to create a local airsoft field with entertainment and employment for kids around the Ohio Valley.
Altruism,Benedict Feole,US,Film & Video,1,700,1,0,A Ci Vado Io Productions film.
Shinny - The Card Game,Kyle Fodchuk,CA,Playing Cards,36,3800,2221,0,"Shinny is a game of strategy and luck.  Play cards to make a rush, defend oncoming rushes or make a save as a last line of defense."
American Dynasty: A Political Board Game (Canceled),New Tectonics,US,Tabletop Games,97,25000,7395,0,"The Clintons, Bushes, Roosevelts, and Kennedys go head to head for their family's domination of American Politics."
Connect. Code. Create. With SBrick Plus,Mark Bollobas,US,Hardware,834,50000,106222,1,Take learning and playing with LEGO to the next level with sensors! Build creations with SBrick Plus and make them interactive!
Empyreome Magazine,Randy Hulshizer,US,Fiction,14,500,505,1,"Empyreome is a quarterly online magazine dedicated to publishing high quality science fiction, fantasy, and other speculative fiction."
Sitting: The Physical Art of Meditation,Erika Berland,US,Nonfiction,152,6000,9133,1,A guide to the ancient form of sitting meditation utilizing contemporary research in somatic education and experiential anatomy.
Glimpse  The Future of Your Memories (Canceled),Nadine Alice Kriegelstein,AT,Film & Video,29,15000,2800,0,"Glimpse is a private video platform for your emotional content. You can record, store, and share video memories with your loved ones."
Cannabis Cookbook...Learn to Infuse Your Desserts!,Keena Moffett,US,Young Adult,14,3000,380,0,This is a cannabis cookbook filled with easy dessert recipes that you and your friends will love!
Little John and Meatball Animated TV Series,Luis Arnoldo Valera,US,Animation,3,90000,326,0,An animated TV series that chronicles the adventures of a Genius pre-teen who dreams of changing the world along to his friends.
"LapDesk: Comfortable Work, Anywhere (Canceled)",Timber Tales,US,Product Design,35,10000,2632,0,"The stylish, portable work-space that turns anyplace into your office"
