naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
Cheer Up! The Ultimate Party Game!,Chris Rio,US,Tabletop Games,122,12000,5915,0,You make the jokes. You make the rules. Cheer Up! is a party game designed to make your sad friends laugh. Also there's a funny dog.
Christmas in France,Joi Bowling,US,Music,91,10000,10355,1,The perfect album to accompany your family traditions.  This very special project will also help bring Christmas joy to France.
Memory/Place,Nancy Karp + Dancers,US,Performances,39,6750,6852,1,"Nancy Karp + Dancers is embarking on our newest and most adventurous project to date, Memory/Place"
Fanfic: the first feature documentary film about fanfiction,Alice Huzar,CA,Documentary,73,70000,9530,0,"A brand new feature documentary exploring the amazing world of fanfiction and the people who write it, read it and love it."
The Mass Readings Explained with Dr. Brant Pitre,Catholic Productions,US,Film & Video,554,68500,75523,1,"In-depth video and podcast Bible Study of the Sunday Mass readings by Dr. Pitre, with accompanying written transcript and study guide"
Project Amy: Season 1,Stage Clear Studios,ES,Video Games,84,250000,2831,0,Amy is based on exploration and decision-making. Players will have to figure out how to use each of the main characters skills.
Little Lids for language learning!,Ducky Baby Designs,US,Crochet,14,200,98,0,"Little Lids: unique, handmade caps for babies or dolls, proceeds help buy materials, and supplies for language learning and tutoring!"
Facebook Live Storytelling,Marc Bussanich,US,Video,0,500,0,0,"Providing commentary on history, politics and sports with a unique persona on camera using Facebook Live."
Tumbling Whites Debut Album,Jimmy Dee,US,Country & Folk,15,3000,953,0,Creating a low budget quality Album for those who have supported and inspired me along the way.
Dreamland Clothing : 2017 Fashion Collection,Ruby Coyne,GB,Ready-to-wear,100,3000,3409,1,This Kickstarter will achieve many more dreams of a young Dundee designer who wants to share her passion and positivity with the world.
Optical Illusions Museum: Be a Part of the Art!,Jeff,CA,Public Art,9,200000,83,0,"Optical Illusions Museum, to be located in Vancouver, B.C., is a 3D art museum inspired by similar art gallery museums in Asia."
Jona's 1st Photography Exhibition is happening!,Jodie Nash,AU,Photography,11,4000,1565,0,I'm Jodie. My 1st exhibition is celebrating Australia. I need a little help while blessing you with my photography art. Are you ready?
Luxury Apothecary Playing Cards - Inspiration You Can Touch,Alexander Chin,US,Playing Cards,1036,20000,83324,1,Discover gorgeous artisan craftmanship designed to help you find everyday inspiration through touch using luxury playing card designs.
"Leafboard, Super Portable and Stylish Electric Skateboard",Leafboard,US,Hardware,653,50000,239604,1,"Weighing 9.7 lbs and achieving speeds of up to 19 mph, Leafboard is the lightest electric skateboard affordable for everyone."
ANDY: The Untold Story of Andy Irons,Teton Gravity Research,US,Documentary,1136,150000,165736,1,"Andy Irons, 3-time world champion surfer who lived at the extremes of emotion, chased success only to be faced with challenges on shore"
